threshold,cost,tn,fp,fn,tp,recall,precision,f1
0.1,54838,1840,54698,14,4951,0.9971802618328298,0.08300222971047293,0.15324852199213793
0.15000000000000002,51907,5251,51287,62,4903,0.9875125881168177,0.08725751913151807,0.16034666012590956
0.20000000000000004,48095,10023,46515,158,4807,0.9681772406847936,0.09366353610537391,0.17080320500293142
0.25000000000000006,44003,15715,40823,318,4647,0.93595166163142,0.10219925225423356,0.18427679191037968
0.30000000000000004,40312,21386,35152,516,4449,0.89607250755287,0.11234564783717584,0.19965893281874075
0.3500000000000001,37089,26779,29759,733,4232,0.8523665659617321,0.12450354505604425,0.21727076701920114
0.40000000000000013,34775,31653,24885,989,3976,0.8008056394763343,0.137763764249333,0.23508543723762787
0.4500000000000001,33229,36129,20409,1282,3683,0.7417925478348439,0.15287232276274282,0.2535017379633135
0.5000000000000001,32263,40045,16493,1577,3388,0.6823766364551863,0.17041396308032794,0.2727199549223215
0.5500000000000002,32324,43574,12964,1936,3029,0.6100704934541793,0.18939536047020572,0.28905429907433916
0.6000000000000002,33251,46597,9941,2331,2634,0.5305135951661631,0.20946322067594433,0.30034207525655643
0.6500000000000001,34283,49265,7273,2701,2264,0.45599194360523665,0.2373912131697599,0.312232795476486
0.7000000000000002,36247,51691,4847,3140,1825,0.3675730110775428,0.27353117505995206,0.3136547220073902
0.7500000000000002,39481,53637,2901,3658,1307,0.2632426988922457,0.31059885931558934,0.28496675024528506
0.8000000000000003,43094,55144,1394,4170,795,0.16012084592145015,0.3631795340338054,0.22225328487559406
0.8500000000000003,46537,56091,447,4609,356,0.0717019133937563,0.44333748443337484,0.12343966712898752
0.9000000000000002,48868,56480,58,4881,84,0.016918429003021148,0.5915492957746479,0.032896025063638146
