threshold,cost,tn,fp,fn,tp,recall,precision,f1
0.1,32215,43833,12705,1951,3014,0.6070493454179254,0.19174247725682295,0.29143299168439374
0.15000000000000002,34677,49981,6557,2812,2153,0.4336354481369587,0.24718714121699195,0.31488117001828153
0.20000000000000004,38493,53025,3513,3498,1467,0.29546827794561936,0.29457831325301204,0.29502262443438915
0.25000000000000006,41656,54642,1896,3976,989,0.19919436052366565,0.34280762564991335,0.2519745222929936
0.30000000000000004,44154,55484,1054,4310,655,0.13192346424974824,0.38326506729081333,0.19628408750374587
0.3500000000000001,45856,55982,556,4530,435,0.08761329305135952,0.4389505549949546,0.1460711887172599
0.40000000000000013,47180,56258,280,4690,275,0.0553877139979859,0.4954954954954955,0.09963768115942029
0.4500000000000001,48096,56392,146,4795,170,0.03423967774420947,0.5379746835443038,0.06438174588146184
0.5000000000000001,48724,56464,74,4865,100,0.02014098690835851,0.5747126436781609,0.03891807744697412
0.5500000000000002,49087,56501,37,4905,60,0.012084592145015106,0.6185567010309279,0.023706045041485577
0.6000000000000002,49358,56520,18,4934,31,0.006243705941591138,0.6326530612244898,0.012365376944555246
0.6500000000000001,49517,56531,7,4951,14,0.0028197381671701913,0.6666666666666666,0.005615724027276374
0.7000000000000002,49603,56535,3,4960,5,0.0010070493454179255,0.625,0.0020108586366378444
0.7500000000000002,49631,56537,1,4963,2,0.0004028197381671702,0.6666666666666666,0.0008051529790660225
0.8000000000000003,49640,56538,0,4964,1,0.0002014098690835851,1.0,0.0004027386226339106
0.8500000000000003,49650,56538,0,4965,0,0.0,0.0,0.0
0.9000000000000002,49650,56538,0,4965,0,0.0,0.0,0.0
